stockcode,bursacode,alias,name,shariah,economicsectorcode,industrygroupcode,hyperlink,address,description
$MRHB,3514,MARCO,MARCO HOLDINGS,0,Consumer Cyclicals,Textiles & Apparel,https://www.marco-groups.com/corporate-information/investor-relations,"25th Floor, Menara JKG, No 282 Jalan Raja Laut, KUALA LUMPUR, 50350, Malaysia","Marco Holdings Berhad is a Malaysia-based investment holding company. The Company is engaged in the business of wholesale and distribution of timepieces and electronic consumer products, for Casio and other brands. The Company’s segments include Distribution of electronic calculators, time pieces and musical keyboards and Others including investment holding and dormant companies. Its geographical segments include Malaysia and Indochina. The Company’s subsidiaries include Marco Corporation (M) Sdn. Bhd., which is engaged in the importation and distribution of calculators, time pieces and electronic musical instruments; Azamara Sdn. Bhd. which is engaged in investment holding; Marco Worldwide Sdn. Bhd., which is engaged in importation, exportation and distribution of calculators and time pieces, and Surpass Sdn. Bhd. which is engaged in on-line trading of time pieces, digital camera, electronic calculators, and electronic musical instruments."
$MARI,5078,M&G,MARINE & GENERAL,0,Industrials,Transport Infrastructure,http://www.marine-general.com.my/,"Plaza Tol Sungai Balak, KM 28.3A Lebuhraya KAJANG SILK, KUALA LUMPUR, 60000, Malaysia","Marine & General Berhad is a Malaysia-based investment holding company. The Company operates through two business segments based on the services provided, which includes the Marine Logistics Services, and the customer activities for the Upstream and Downstream activities. The Company’s geographical locations include Malaysia, Singapore, China and Hong Kong. The Company’s wholly owned subsidiaries include AQL Aman Sdn. Bhd. (AQL) and M&G Marine Logistics Holdings Sdn. Bhd. (MGMLH)."
$MSTP,7029,MASTER,MASTER PACK GRP,1,Basic Materials,Containers & Packaging,http://www.master.net.my/,"1574 Jalan Bukit Panchor, Seberang Perai Selatan, NIBONG TEBAL, 14300, Malaysia","Master-Pack Group Berhad is a Malaysia-based investment holding company. The Company is engaged in the provision of management services. The Company operates in the manufacture and sale of corrugated fibreboard cartons and packaging materials segment. The Company's products include packaging products, such as sheet boards, including single wall, double wall, triple wall and quad wall; slotted type; telescope type; folder type; interior fitments; die-cut products; palletized shipping container and other packaging materials, and additives, including Maz. The Company's subsidiaries include Master-Pack Sdn. Bhd., which is engaged in the manufacture of corrugated cartons and distribution of packaging materials; Master-Pack (Sarawak) Sdn. Bhd., which is engaged in the manufacture and sale of corrugated fiberboard cartons, and Master-Pack Marine Products Sdn. Bhd., that consists of property letting."
$MATA,0189,MATANG,MATANG BHD,0,Consumer Non-Cyclicals,Food & Tobacco,https://matangbhd.com/,"Suite 905, 9th Floor, City Plaza, Jalan Tebrau, KUALA LUMPUR, 50100, Malaysia","Matang Berhad is a Malaysia-based investment holding company. The Company’s principal activities include ownership, operation and management of durian plantation, processing, production and distribution of durian and any related downstream business activities (Durian Business). It is involved in the investment holding, management of plantation estates, sale of fresh fruit bunches (FFB) and property holding. In addition to the plantation, the Company, through a wholly owned subsidiary, Matang Holdings Berhad owns an industrial property comprising three blocks of building in Kawasan Perindustrian Larkin, Johor Bahru, Johor. Another subsidiary within the Company, Matang Realty Sdn Bhd (MRSB) owns vacant freehold development land of 5,000 square meter in Tangkak, District of Ledang, Johor. Its subsidiary MRSB is engaged in property investment holdings."
$MATR,5236,MATRIX,MATRIX CONCEPTS,1,,,https://www.mchb.com.my/,"Wisma Matrix, 57, Jalan Tun Dr. Ismail, SEREMBAN, 70200, Malaysia","Matrix Concepts Holdings Berhad is a Malaysia-based company, which is engaged in investment holding activities. The Company operates through four segments: Property development, Construction, Education and Hospitality. Its Property Development and Construction segment is engaged in the development and construction of commercial and residential properties. Its Education segment is engaged in managing and administering a private and international school. Its Hospitality segment is engaged in managing and operating a clubhouse and hotel. Its Other segment is engaged in property management services and hospital management services. Its flagship project in Negeri Sembilan provides a self-contained township, integrated residential, commercial developments and green business parks. Its schools comprising Matrix International Pre-School, Matrix International School and Matrix Private School. Its d’Sora Boutique Business Hotel, a 3 stars contemporary business hotel."
$MATI,03019,MPSOL,MATRIX PARKING,1,Industrials,Transport Infrastructure,,"Y-Bg-02, D Aman Kayangan, No.1, Jalan Pju 1a/41, PETALING JAYA, 47301, Malaysia","Matrix Parking Solution Holdings Berhad is a Malaysia-based investment holding company. The Company’s subsidiaries include Matrix Parking Solution Sdn. Bhd. and Prospect Builders Sdn. Bhd., which are the carpark operator and engaged in carpark management. Its parking facility management services include management of parking operations; supply, installation and maintenance of parking access and revenue control systems; deployment of parking management and operations personnel; provision of revenue reports and analysis to clients; design, production, installation and maintenance of signage; and other ancillary services related to parking. Its project consultancy services include parking demand feasibility and financial analysis; site selection and planning; functional design and traffic flow analysis; enforcement analysis and recommendations; designing internal audit, accounting and administration systems; and designing and construction of car parks."
$MAXI,4022,MAXIM,MAXIM GLOBAL,1,Industrials,Construction & Engineering,https://maximglobal.com.my/,"No. 2D, Jalan SS 6/6, Kelana Jaya, PETALING JAYA, 47301, Malaysia","Maxim Global Berhad is a Malaysia-based investment holding company. The Company is engaged in construction related activities. The Company operates through four business segments, such as Property, Industrial supplies, Investment holding and Others. The Company's project includes Mizumi Residences, Residensi Metro Kepong, Ganggarak Permai and Residensi Majestic Maxim. The Company's Mizumi Residences and Residensi Metro Kepong projects are located at Taman Metropolitan, Kepong, Kuala Lumpur, developed by the Company’s subsidiary Wawasan Metro Bina Sdn Bhd. The Company's project Ganggarak Permai is located at Ganggarak, Labuan FT, developed by the Company’s subsidiary, Ganggarak Development Sdn Bhd. The Company’s Residensi Majestic Maxim project is located at Alam Damai, Cheras, Kuala Lumpur, and developed by the Company’s subsidiary, Majestic Maxim Sdn Bhd. The Residensi Majestic Maxim is a mixed development comprising service apartments, retail/office space and commercial space."
$MXSC,6012,MAXIS,MAXIS BERHAD,1,Technology,,https://www.maxis.com.my,"Level 8, 10 - 23, Menara Maxis, Off Jalan Ampang, Kuala Lumpur City Cntr, KUALA LUMPUR, 50088, Malaysia","Maxis Berhad is a Malaysia-based investment holding company. The Company is primarily engaged in providing converged telecommunications services and solutions in Malaysia. The Company’s subsidiaries include Advanced Wireless Technologies Sdn. Bhd., which is a provider of wireless multimedia-related services; Maxis Broadband Sdn. Bhd., which is a provider of converged telecommunications, digital and related services and solutions, and corporate support and services functions to its holding companies; Maxis International Sdn. Bhd., which is engaged in the provision of telecommunications services; Maxis Mobile Sdn. Bhd., which is an operator of mobile telecommunications services for special niche projects, and Maxis Mobile Services Sdn. Bhd., which is engaged in the provision of mobile telecommunications services for special niche projects."
$MBBM,1155,MAYBANK,MAYBANK BHD,0,Financials,Banking Services,https://www.maybank.com/,"14th Floor, Menara Maybank, 100, Jalan Tun Perak, KUALA LUMPUR, 50050, Malaysia","Malayan Banking Berhad is a holding company, which is engaged in providing financial products and services. The Company’s segment includes Group Community Financial Service, Group Global Banking, and Group Insurance and Takaful. The Group Community Financial Service segment includes Consumer Banking, which offers of products and services offered to individuals, such as savings and fixed deposits; Small, Medium Enterprise (SME) Banking, which offers products and services, such as long-term loans such as project financing, short-term credit such as overdrafts and trade financing; Business Banking, which offers products and services, such as fee-based services such as cash management and custodian services. The Group Global Banking includes Group Corporate Banking and Global Markets, Group Investment Banking (Maybank IB and Maybank Kim Eng), and Group Asset Management. The Group Insurance and Takaful segment comprises of underwriting all classes of general and life insurance business."
$MBMR,5983,MBMR,MBM RESOURCES,1,Consumer Cyclicals,Automobiles & Auto Parts,http://www.mbmr.com.my/,"No. 1-6, The Boulevard, Lingkaran Syed Putra, Mid Valley City, KUALA LUMPUR, 58000, Malaysia","MBM Resources Berhad is a Malaysia-based investment holding company that manufactures, supply and assembly various parts for commercial and passenger vehicles. All others segment operates as investment holding, corporate headquarters and other dormant companies. The Company’s segments include Motor Trading and All others. The Motor Trading segment is focused on marketing and distribution of motor vehicles, spare parts and provision of related services. The Company’s subsidiaries include Motor Trading Divisions Daihatsu (Malaysia) Sdn Bhd, Federal Auto Holdings Berhad, DMM Sales Sdn Bhd, Hirotako Acoustics Sdn Bhd, Oriental Metal Industries (M) Sdn Bhd and Autoliv Hirotako Sdn Bhd."
$MCEI,7004,MCEHLDG,MCE HOLDINGS BHD,1,Consumer Cyclicals,Automobiles & Auto Parts,http://www.multicode.com.my/,", JOHOR BAHRU, 81100, Malaysia","MCE Holdings Berhad is a Malaysia-based investment company. The Company is principally engaged in the manufacturing electronics parts and accessories for original equipment manufacturer and replacement equipment manufacturer automotive industries. The Company operates in two segments: Automotive parts and Healthcare services. The Automotive parts segment is involved in manufacturing and trading of automotive parts. The Healthcare services segment is engaged in providing health care services. It designs, manufactures, and supplies automotive electronics and mechatronic parts for the Malaysian and regional markets. It provides precision manufacturing facilities, which includes surface mount assembly, thru-hole auto insertion, metal stamping, spraying, laser engraving and electro-mechanical assembly. Its products include ultrasonic parking sensor system, functional instrumental panel switches, window lifter system, lighting system- interior lamp, plastic products, and camera systems."
$MCLN,0167,MCLEAN,MCLEAN TECH,1,Industrials,Professional & Commercial Services,http://www.mclean.com.sg,"2 Woodlands Sector 1, Woodlands Spectrum, Sec. 1 22 # 01, 738068, Singapore","MClean Technologies Berhad is a Singapore-based investment holding company. The Company provides surface treatment, precision cleaning and packaging services for various industries ranging from the hard disk drive, consumer electronics to the oil and gas industries. Its segments include surface treatment and precision cleaning, and others. The Company, through its subsidiaries, provides surface treatment services, such as precision cleaning in cleanroom environment, and surface treatment and finishing of metal parts. It also provides cleanroom packaging, assembly and logistics services, such as clean bulk packaging services, cleanroom packaging services, and assembly services. The Company’s surface treatment services include acid and alkaline etching, anodizing, chemical polishing, deburring, degreasing, electro polishing, nickel plating, passivation, plating, sand blasting, and spray painting. Its services are catered primarily to Singapore, China, Thailand, and the Malaysia Markets."
$MCOM,03022,MCOM,MCOM HOLDINGS,1,Consumer Cyclicals,Media & Publishing,,"No. 7-1, Jalan Putra Mahkota 7/8b, Putra Heights, SUBANG JAYA, 47650, Malaysia","MCOM Holdings Berhad is a Malaysia-based investment holding company. The Company's segments include Mobile payment solutions, Mobile advertising platform and Internet services. The Mobile payment solutions segment is engaged in micropayment gateway for direct carrier billing services and third-party payment gateway. The Mobile advertising platform segment assists in managing, deploying and monitoring of mobile advertisements. The Internet services segment is engaged in the provision of Internet and related information technology (IT) services. It is engaged in the provision of mobile payment solution service through MCOM Network Sdn Bhd and MCOM Messaging (Thailand) Co., Ltd. It is engaged in the provision of Internet and related IT services through M-Media Co., Ltd. It is engaged in the provision of mobile payment solution services and management services through MCOM Messaging Sdn Bhd. It is engaged in the provision of mobile advertising platform services through MCatch (L) Bhd."
$MCTB,5182,MCT,MCT BHD,1,,,http://www.mct.com.my/,"Ground Floor, MCT Tower, One City, Jalan USJ 25/1, SUBANG JAYA, 47650, Malaysia","MCT Berhad is a Malaysia-based investment holding company. The Company’s segments include Property development, Construction activities, Investment holding and Complementary business. The Property development segment is engaged in property development of residential and commercial properties. The Construction activities segment is involved in the construction, providing civil and mechanical engineering services. The Investment holding segment is engaged in investment holding activities. The Complementary business segment in involved in operating in leasing of properties. Its projects include Casa Embun @ Cybersouth, Casa Bayu @ Cybersouth, Park Place 1 @ Cybersouth, Lakefront Homes, LakeFront Residence, LakeFront Villa, Aetas Damansara, Alira @ Metropark Subang, The Square @ One City, Sky Park @ One City, eCity Hotel @ One City, Garden Shoppe @ One City, The Place @ One City, 1 Avenue @ USJ, The Place @ Cyberjaya and Sky Park @ Cyberjaya."
$MDCH,5090,MEDIAC,MEDIA CHINESE,1,Consumer Cyclicals,Media & Publishing,http://www.mediachinesegroup.com,"15th Floor, Block A, Ming Pao Industrial Centre, 18 Ka Yip Street, Chai Wan, Hong Kong","Media Chinese International Limited is a Hong Kong-based investment holding company principally engaged in publishing businesses. The Company operates through two segments. Publishing and Printing segment is engaged in the publication, printing and distribution of newspapers, magazines, books and digital contents primarily in the Chinese language. Its newspapers include Sin Chew Daily, China Press and Guang Ming Daily, among others. This segment operates businesses in Malaysia and other Southeast Asian countries, Hong Kong, Taiwan and Mainland China, as well as North America. Travel and Travel-related Services segment is engaged in the sales of travel packages and the provision of travel services."
$MPRM,4502,MEDIA,MEDIA PRIMA BHD,0,Consumer Cyclicals,Media & Publishing,https://www.mediaprima.com.my,"Balai Berita, Anjung Riong, 31, Jalan Riong, Bangsar, KUALA LUMPUR, 59100, Malaysia","Media Prima Berhad is Malaysia-based investment holding company. The principal activities of the Company consist of commercial television and radio broadcasting, publishing, printing, sale and distribution of newspapers, home shopping network, provision of Internet and digital-based media, provision of outdoor advertising space and related production services, media content production and distribution, property management services, and other media industry related services. It segments includes Omnia, Broad casting, Out of Home, Publishing, Digital Media, Content Creation, and Home Shopping. It offers creative services and integrated marketing solutions across all Media Prima platforms, specializing in brand campaigns, events, and creative content. The Company owns and operates four free-to-air television stations. Its subsidiaries include Media Prima Omnia Sdn Bhd, Sistem Televisyen Malaysia Berhad, Big Tree Outdoor Sdn Bhd, Primeworks Studios Sdn Bhd, and Big Events Sdn Bhd."
$MEGA,3069,MFCB,MEGA FIRST CORP,1,Utilities,Electrical Utilities & IPPs,http://www.mega-first.com/,"8-05, Level 8, Menara Milenium,, 8 Jalan Damanlela, PETALING JAYA, 46050, Malaysia","Mega First Corporation Berhad is a Malaysia-based company engaged in investment holding and provision of management services. The Company's segments include Renewable Energy, Resources, Packaging, Investment Holding & Others. Renewable Energy build, own and operate renewable power plants. Resources quarrying of limestone, manufacturing and trading of lime products, calcium carbonate powder and bricks. Packaging segment manufactures a range of printed labels and stickers, paper bags and flexible materials for multiple industries and for both the domestic and export markets. The Company’s subsidiaries include Authentic Excellence Sdn. Bhd. (AESB), Cheng Sun Industries Sdn. Bhd. (CSI), Don Sahong Holdings Limited (DSH), Geo-Mobile Asia Sdn. Bhd, Geo-Mobile Asia Sdn. Bhd, Gombak Land Sdn. Bhd. (GLSB), Mega First Housing Development Sdn. Bhd, Mega First Investments (L) Limited and Mega First Industries Sdn. Bhd. (MFI)."
$MESC,0081,MEGASUN,MEGA SUN CITY,1,,,http://www.megasuncity.com/,"72-3-23A & 25 Arena Curve@The Arena, Jalan Mahsuri, KUALA LUMPUR, 50480, Malaysia","Mega Sun City Holdings Berhad is a Malaysia-based company that is engaged in the provision of management services and investment holding. The Company's segments include Project management services, Property investment holding, and Trading in building, steel and construction materials. The Project management services segment is engaged in the provision of project management services, including project design evaluation, project value engineering and project construction management, trading in building materials and related products, supply of computer, server, hardware and accessories, and consultation of computer software. The Property investment holding segment is engaged in letting of properties and provision of support services. its project management services include project design evaluation, project value engineering and project construction management. Its projects include Arena Residence, Golden Triangle, Mansion One and One Imperial."
$MEHB,5129,MELATI,MELATI EHSAN,1,Industrials,Construction & Engineering,https://www.melatiehsan.com.my/,"No. 5, Jalan Titiwangsa, KUALA LUMPUR, 53200, Malaysia","Melati Ehsan Holdings Berhad is a Malaysia-based investment holding company. The Company is principally engaged in investment holding, turnkey construction, property development and trading of construction materials and rental of machineries. Its segments include Construction, Trading, and Property development. The Construction segment is engaged in turnkey construction. The Trading segment is engaged in trading of construction materials and rental of machineries. The Property development segment is engaged in development of residential and commercial properties. The Company specializes in providing total solutions in construction management, from conceptualizing project needs through financing, providing engineering solutions, construction and maintenance. Its subsidiaries include Asas Jiwa Sdn. Bhd., Bayu Melati Sdn. Bhd., Melati Ehsan Capital Sdn. Bhd., Melati Ehsan Consolidated Sdn. Bhd., Melati Ehsan Trading Sdn. Bhd. and Pembinaan Kery Sdn. Bhd."
$MSTM,3778,MELEWAR,MELEWAR INDUSTRI,1,Basic Materials,Metals & Mining,http://www.melewar-mig.com/,"15th Floor, No. 566 Jalan Ipoh, KUALA LUMPUR, 51200, Malaysia","Melewar Industrial Group Berhad is a Malaysia-based company, which is engaged in property investment and investment holding. The Company and its subsidiaries are focused on mid-stream steel cold rolled coil and steel tube manufacturing. The Company has three segments, which includes Steel Tube, Cold Rolled, Investment Holding and Others. The Steel Tube segment is engaged in the business of manufacturing and sales of steel pipes and tubes. The Cold Rolled segment is engaged in the business of manufacturing and sales of cold rolled coils. The Investment Holding segment refers to companies with investments in subsidiaries, and companies with investments in quoted and unquoted equity securities. Its Others segment comprises of companies involved in the food, modular construction, and metal scraps trading businesses. The Company through its Ausgard Quick Assembly Systems Sdn Bhd (AQAS) subsidiary engaged in the business of supplying commercial and residential buildings to niche markets."
$MNCS,1694,MENANG,MENANG CORPN,1,,,http://www.menangcorporation.com/,"8th Storey, South Bk Wsma Slngor Dredzng, Jalan Ampang, KUALA LUMPUR, 50450, Malaysia","Menang Corporation (M) Berhad is a Malaysia-based company, which is engaged in investment holding and the provision of management services. The Company’s segments include Property development, Investment holding and Concession arrangements. The Property development segment is engaged in the development of residential and commercial properties. The Investment holding segment is involved in investment holding and provision of management services. The Concession arrangements segment is engaged in the construction and maintenance of facilities and infrastructure. The Company’s wholly owned subsidiaries include Menang Development (M) Sdn. Bhd., Menang Leasing and Credit (M) Sdn. Bhd., Menang Management Services (M) Sdn. Bhd., Menang Properties (M) Sdn. Bhd., Menang Aquatics Sdn. Bhd., Menang Construction (M) Sdn. Bhd., Equitiplus Sdn. Bhd., Hitung Panjang Sdn. Bhd., Temeris Holdings Sdn. Bhd. and Menang Industries (M) Sdn. Bhd."
$MENT,5223,MENTIGA,MENTIGA CORP BHD,1,Basic Materials,Paper & Forest Products,https://mentiga.com.my/,"No. 26 & 26A, Jalan Putra Square 1, Putra Square,, KUANTAN, 25200, Malaysia","Mentiga Corporation Berhad is a Malaysia-based investment holding company. The principal activities of the Company are timber extraction and trading in timber related products, mining, and oil palm plantation activities. The Company operates through three segments: timber products, plantation, and mining. The timber products segments include timber extraction, trading in related timber products and reforestation project. The plantation segment includes oil palm plantation. The mining segment includes extraction and exploration of mining ores. Its subsidiaries include Mentiga Plantation Sdn Bhd., Mentiga Mining Sdn Bhd., Mentiga Development & Construction Sdn Bhd., and Lesong Forest Products Sdn Bhd."
$MEIS,8192,MERCURY,MERCURY IND BHD,1,Industrials,Construction & Engineering,http://www.mercury.com.my,"B-15-6, Wisma Pantai,, Plaza Pantai,No. 5 Jalan 4/83A, Off Jalan Pantai Baru, SERI KEMBANGAN, 43300, Malaysia","Mercury Industries Berhad is an investment holding company, which is engaged in the provision of management services. Its segments include Trading, Construction, Investment Holding, and Property Development. The Trading segment is engaged in the trading of building materials. The Construction segment is engaged in the civil and building construction works. The Investment Holding segment includes investment holding and the provision of management services. The Company, through its wholly owned subsidiary Paramount Bounty Sdn Bhd, provides civil and building construction works, which include the construction of commercial shop-lots and shop offices, shopping complexes, residential apartments, condominiums, and hotels. The Company, through its wholly owned subsidiary Mercury Building Supplies Sdn Bhd, which provides sourcing and trading of building materials and other associated products used in the construction/property development industry."
$MERI,5040,MERIDIAN,MERIDIAN BHD,1,,,https://www.meridianbhd.com.my/,"Suite 20.08 20.09, Plaza 138, Jalan Ampang, KUALA LUMPUR, 50450, Malaysia","Meridian Berhad is a Malaysia-based investment holding company. The Company’s segments include Property development, Construction, Property Investment and Others. The Property development segment is engaged in the development of residential and commercial properties, and agricultural lots. The Construction segment is engaged in securing and carrying out construction contracts. The Property Investment segment is engaged in the rental collection from investment properties and operation of car park in commercial properties. The Others segment focuses on the business involved in cultivation of oil palm and project management services. The Company's subsidiaries include Sri Lingga Sdn. Bhd., Gaya Pustaka Sdn. Bhd., Meda Project Management Sdn. Bhd., Meridian Adventure Camp Sdn. Bhd., Meridian Luasempit Sdn. Bhd., Meridian Theme Park Sdn. Bhd., MIB Construction Sdn. Bhd., ZKP Development Sdn. Bhd. and Pesona Alfa Sdn. Bhd."
$MESB,7234,MESB,MESB BHD,1,Consumer Cyclicals,Specialty Retailers,http://mesbbhd.com/,"C15-1 L 15, Tower C, Megan Avenue II, 12 Jalan Yap Kwan Seng, SERI KEMBANGAN, 43300, Malaysia","MESB Berhad is an investment holding company. The Company’s segments include Investment Holding, which is engaged in investment holding; Retail and Waste Recycling, which is involved in the trading and retailing of leather products, apparel and accessories and operates a range of retail fashion chains within the retail fashion markets in Malaysia and Waste Recycling, which includes collecting, sorting, recycling and distribution of scrap and waste materials, such as wastepaper, plastics scrap, and scrap ferrous metal. The sorted and recycled materials are distributed to plastic resin and paper manufacturers as well as other secondhand scrap dealers. Its products include clothing for men, women, children, and baby, plus a range of accessories, such as wallets, purses, handbags, backpacks, and sling bags. Its brand portfolio includes Pierre Cardin, Louis Feraud, Giamax, Jeep, J is for Jeep Brand, Alain Delon, Giossardi, Tocco Toscano, Crocodile, and Ducati."
$MNGA,5011,MSNIAGA,MESINIAGA BHD,1,Technology,Software & IT Services,http://www.mesiniaga.com.my,"11th Floor, Menara Mesiniaga, 1A, Jalan SS16/1, SUBANG JAYA, 47500, Malaysia","Mesiniaga Berhad is a Malaysia-based company, which is principally engaged in the sale of information technology products and related services. The Company’s products include MyMOMS, Chup, NetSysCare, MB Cloud, MB Hybrid, MB Evergreen and LOFT. Its services include XyberGuard, Network Solutions, IT Maintenance, change management and project management. Its MyMOMS is a mobile application, which offers antenatal care solution and is used by the patient, doctors and nurses and has the ability to highlight and identify risks to reduce morbidity, mortality and near-miss disasters. Its Chup is mobile application for merchants to set appointments, receive reminders and alerts for their customers. Its NetSysCare is a monitoring tool, which enables to monitor the health of network devices, servers and other critical equipment, and avoid problems, such as unexpected downtime and service outages."
$MEST,0207,MESTRON,MESTRON HOLD,1,Consumer Cyclicals,Homebuilding & Construction Supplies,https://www.mestron.com.my/,", SELANGOR DARUL EHSAN, 47120, Malaysia","Mestron Holdings Berhad is a Malaysia-based investment holding company. The Company operates through two segments: manufacturing and trading. Manufacturing segment is engaged in manufacturing of steel poles comprising standard street lighting poles, decorative light poles and specialty poles. Trading segment is engaged in trading of outdoor lighting products. The Company’s subsidiary, Mestron Engineering Sdn. Bhd. (MESB) is engaged in the manufacturing and trading in steel and lighting products. The Company offers various products, including street lighting pole, decorative pole, camera pole, mid-hinge collapsible pole, telecommunication monopole, high mast, traffic pole, and oil and gas, and mining light poles. Street lighting pole is used by a range of road lighting, such as residential, recreational, commercial, industrial, expressway. Camera poles needs to be designed so that during high wind the pole deflection remain within the accepted limit."
$METB,2097,MBRIGHT,META BRIGHT GROU,0,Consumer Cyclicals,Hotels & Entertainment Services,http://www.eeb.com.my/,"No. 24, Jalan 8/23E, Taman Danau Kota, Setapak, Setapak, KUALA LUMPUR, 53300, Malaysia","Meta Bright Group Berhad, formerly Eastland Equity Bhd., is a Malaysia-based investment holding company. The Company's segments include Investment properties, Leasing & financing, Hospitality, Investment holding, Property development and Others. The Company’s portfolio includes property development in Kelantan, The Grand Renai Hotel, shopping complex and condominium. The Grand Renai Kota Bharu is located in the heart of Kota Bharu’s commercial and shopping district and approximately 12 kilometers from Sultan Ismail Petra Airport. It has approximately 298 rooms and provides international services and facilities. The Company’s project is a township development named Bandar Tasek Raja situated in Pasir Mas, Kelantan. The Grand Renai Hotel are the Kota Sri Mutiara shopping complex and a Mutiara Tower condominium."
$METO,03005,MHCARE,METRO HEALTHCARE,1,Healthcare,Healthcare Providers & Services,http://metro.com.my/,"No. 36, Jalan Pasar, KLANG, 41400, Malaysia","Metro Healthcare Berhad is a Malaysia-based investment holding company. The Company’s subsidiaries include Hospital Wanita Metro Sdn. Bhd., Metro Medical Centre Sdn. Bhd., K.W. Tee Sdn. Bhd., Metro IVF Sdn. Bhd., Vision One Diagnostic Sdn. Bhd. and SSH Care Sdn. Bhd. Hospital Wanita Metro Sdn. Bhd. provides hospital and related consultation services. Metro Medical Centre Sdn. Bhd. is engaged in the provision of dental services. K.W. Tee Sdn. Bhd. is an investment holding company. Metro IVF Sdn. Bhd. operates, manages and/or provides healthcare services in hospitals, ambulatory care centers, maternity homes and/or clinics. Vision One Diagnostic Sdn. Bhd. is engaged in the diagnostic imaging center and medical center. SSH Care Sdn. Bhd. provides maternity homes and related consultation services."
$MROD,6149,METROD,METROD HLD,0,Industrials,"Machinery, Equipment & Components",http://www.metrod.com/,"No. 3, Lengkuk Keluli 2, Bukit Raja Prime Industrial Park, PO Box 212, KLANG, 41720, Malaysia","Metrod Holdings Berhad is an investment holding company. The principal activities of the Company are divided into two segments: Procurement of raw materials, manufacturing and marketing of electrical conductivity grade copper wires, rods and strips and Hospitality business. It operates in two geographical areas: Malaysia, which consists of Copper Business, which is engaged in the procurement of raw materials and manufacturing and marketing of electrical conductivity grade copper wires rods and strips and India, which includes hospitality and copper business. It also owns hotel in Goa, India. Its subsidiaries include Metrod (Malaysia) Sdn Bhd, which is engaged in investment holding and manufacturing of electrical conductivity grade copper wires, rods and insulated and non-insulated copper strips; Savli Copper Products Private Limited, which is engaged in manufacturing and trading of copper products and Metrod (Mauritius) Pvt Ltd, which is engaged in investment holding."
$MTNC,0043,MTRONIC,METRONIC GLOBAL,1,Industrials,Professional & Commercial Services,https://www.metronic-group.com/,"No. 2 Jalan Astaka U8/83, Seksyen U8, Bukit Jelutong, SHAH ALAM, 40150, Malaysia","Metronic Global Berhad specializes in design, supply, install, testing, and commissioning, and service and maintenance of building management system (BMS), energy management system (EMS), security system, information and communication technology system (ICT) and extra low voltage system (ELV). Its business divisions include IBMS division, ISMS division, e-PM engineering services division, ICT support system division, and industrial automation division. The IBMS division is an integration of building automation system, access control, closed circuit TV (CCTV) system and fire control and monitoring system into one single intelligent system. The ISMS division provides security solution by integrating all the individual security systems like, card access, perimeter intrusion detection system, door monitoring system, and guard tour system. The e-PM engineering services division is involved in the provision of engineering services specializing in the field of mechanical and electrical."
$MGBB,7595,MGB,MGB BERHAD,1,Industrials,Construction & Engineering,http://www.mgbgroup.com.my/,"H02, Sunway PJ 51A, Jalan SS 9A/19, PETALING JAYA, 47300, Malaysia","MGB Berhad is a Malaysia-based investment holding company, which is engaged in the provision of management services. The Company designs and builds projects to general construction for residential, commercial, and industrial buildings as well as infrastructure works. The Company’s segment includes Construction and trading, Property development and Others. The Construction and trading segment is engaged in designing, and building, civil engineering, general construction, piling activities, trading of construction materials and manufacturing of industrialized building system (IBS) precast products. The Property development segment is engaged in the development of residential and commercial properties. The Others segment includes Investment holding and dormant. Its subsidiaries include Top Ace Solutions Sdn. Bhd., which is engaged in trading of building materials and general construction activities and MGB Geotech Sdn. Bhd., which is engaged piling and foundation construction work."
$MHCP,5026,MHC,MHC PLANTATIONS,1,Consumer Non-Cyclicals,Food & Tobacco,http://mhc.com.my/,"Kompleks Pejabat Behrang 2020, Jalan Persekutuan 1, TANJONG MALIM, 35900, Malaysia","MHC Plantations Bhd is a Malaysia-based company, which is engaged in the cultivation of oil palm, investment holding and the operation of a hotel. The Company operates through three segments: Plantation, Oil Mill and Power Plant. The Plantation segment is involved in the Cultivation of oil palm. The Mill segment is involved in the milling and sale of oil palm products. The Power plant segment is involved in the power generation and sale of biomass by-products. The Company's subsidiaries are engaged in the business of cultivation of oil palm, operation of quarry, milling and sales of oil palm products including crude palm oil and palm kernel (Kernel), letting of oil palm fresh fruit bunches collection center, investment holding, power generation, and property development. The Company’s subsidiaries include Champion Point Sdn. Bhd., Yew Lee Holdings Sdn. Berhad, Majuperak Plantation Sdn. Bhd., Anson Oil Industries Sdn. Bhd., Ayu Gemilang Sdn. Bhd. and Telok Anson Hotel Sdn. Berhad."
